urlname;parentname;baseref;result;warningstring;infostring;valid;url;line;column;name;dltime;size;checktime;cached;level;modified
/;http://ecology-sandra.codio.io:3000/radiation/;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;1;
/;http://ecology-sandra.codio.io:3000/radiation/Sign-up-for-Email-Updates/;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/contact.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/medical.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/veterinary.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/dental.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/industrial.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/regulatory-guides.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/inspections.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/violation-notice.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/compliance-trends.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/inspectors.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;465;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/medical-faq.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/industrial-faq.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/faq.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/renew.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;465;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/certification.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;465;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/exam.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;465;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/other-certifications.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;465;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/contact.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;465;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/contact.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;465;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/norm.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/medical.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/industrial.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/advanced-technology.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/termination.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/amendments.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/fingerprint-workshop.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;2;
